item_id,hours,minutes
10,289766,55
100,5199,59
10000,1050,46
1002,14,54
10040,0,0
100400,109,4
100410,1055,13
10080,47,28
10090,127756,9
100970,347,30
100980,189,30
10100,20,50
10110,61,29
10120,14,7
10130,635,22
10140,153,32
10150,12533,19
10170,683,36
10180,92462,30
10190,637964,27
10220,1288,10
102200,710,59
10230,14,4
10240,27,59
102400,35,6
10250,13,23
102500,26363,28
10260,38,54
102600,19640,6
10270,227,44
102700,4849,42
102810,146,15
102820,2577,15
102840,3024,20
102850,377,29
10400,0,42
104000,512,41
104020,70,55
10410,0,0
104100,35,38
10420,0,0
104200,1734,49
10430,783,16
10440,0,0
10460,23,53
104600,789,7
10470,0,0
104700,34206,32
10480,3,49
10490,0,0
104900,36698,7
10500,166576,28
105000,304,57
10510,0,0
105100,86,44
10520,0,0
105200,0,0
10530,165,20
105300,181,54
10540,6000,48
105400,18369,41
105420,194,24
105430,19162,14
105450,83017,51
10560,0,0
105600,2582909,1
105700,52,47
105800,644,55
10590,107,52
106000,211,39
106010,222,2
10630,0,0
10650,50,13
10660,6,20
10680,24604,59
10690,65,22
10700,9,49
107000,39,32
107100,34622,15
107200,18072,13
107300,578,29
107310,2838,50
107400,2640,13
107410,1122198,24
107430,1,7
107600,441,8
107800,1258,39
107900,12282,4
108100,42,12
108110,90,50
108200,2296,0
108210,272,2
108500,1199,53
108600,29436,59
108700,736,24
108710,16772,53
108800,26726,54
109200,14,52
109400,26752,5
109410,541,57
109500,24,22
109600,107791,48
109700,67,18
11020,19767,8
11040,125,58
110400,199,22
11050,60,9
110500,1237,52
11060,62,2
110600,23,56
110610,12,38
110630,20,26
110800,35410,48
111000,28,3
111010,29,40
111100,477,16
11120,27,43
11130,56,44
111300,18,41
11140,143,50
111400,592,2
11150,109,3
111600,573,42
11170,877,48
11180,40,13
111800,2323,47
11190,294,18
111900,1554,35
11200,966,8
112100,1082,48
11230,133,12
11240,274,29
11250,120,45
11260,274,50
11280,666,18
113020,23029,16
113200,273059,25
11330,224,21
11340,161,59
113400,239119,7
113420,26072,20
11360,111,8
11370,69,45
11390,770,49
113900,493,22
11420,482,50
11440,398,28
11450,6625,1
11480,219,6
11500,410,34
115100,3686,49
115110,2830,20
115120,1608,23
11520,364,26
115200,149,9
115210,228,6
115220,126,42
115320,12515,46
11550,65,13
11560,90,13
11590,327,4
11610,49558,33
116100,158,12
116120,47,30
11900,146,53
11920,45,58
1200,4523,29
1210,0,0
12100,5080,21
12110,13583,9
12120,53736,27
12130,135,1
12140,4741,15
12150,3328,3
12160,510,35
