item_id,release_date_imputed,tags&genres
761140,2018-01-04,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']"
643980,2018-01-04,"['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']"
670290,2017-07-24,"['Free to Play', 'Simulation', 'Sports', 'Casual', 'Indie', 'Multiplayer']"
767400,2017-12-07,"['Action', 'Adventure', 'Casual']"
773570,2017-12-26,"['Action', 'Indie', 'Casual', 'Sports']"
772540,2018-01-04,"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']"
774276,2018-01-04,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
774277,2018-01-04,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
774278,2018-01-04,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
768800,2018-01-04,"['Indie', 'Casual', 'Simulation', 'Racing']"
768570,2017-11-08,"['Early Access', 'Action', 'Indie', 'Simulation', 'Survival']"
724910,2017-11-08,['Casual']
770380,2018-01-04,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']"
768880,2018-01-04,"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']"
765320,2018-01-03,"['Indie', 'Casual', 'Simulation']"
773650,2018-01-03,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']"
774271,2018-01-03,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
773690,2018-01-03,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']"
774279,2018-01-03,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
772590,2018-01-03,"['Early Access', 'Indie', 'VR']"
640250,2017-12-26,"['Early Access', 'Action', 'Adventure', 'Indie', 'Casual']"
768060,2018-01-03,"['Action', 'Adventure', 'Indie']"
711440,2017-12-24,"['Early Access', 'Strategy', 'Action', 'Indie', 'Casual', 'VR']"
775880,2017-12-22,"['Simulation', 'Racing', 'Sports']"
775881,2017-12-23,"['Simulation', 'Racing', 'Sports']"
653960,2018-01-03,"['Indie', 'Action']"
777910,2018-01-03,"['Design & Illustration', 'Tutorial']"
282010,1997-06-30,"['Racing', 'Action', 'Classic', 'Indie', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']"
70,1998-11-08,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']"
752360,2016-11-25,"['Action', 'RPG', 'Indie']"
594200,2015-04-04,"['Action', 'Indie', 'VR']"
520680,2018-01-01,"['Casual', 'Indie', 'Strategy', 'Card Game', 'Board Game', 'Turn-Based Strategy']"
690410,2018-01-01,"['Action', 'Platformer', 'Side Scroller']"
766850,2018-01-01,"['Casual', 'Indie', 'Simulation']"
413120,2018-01-01,"['Casual', 'Action', 'Massively Multiplayer', 'Indie', 'Sports', 'Simulation', 'Strategy']"
773120,2017-12-30,"['Adventure', 'Indie', 'Casual']"
680970,2017-11-08,"['Action', 'Free to Play', 'Strategy']"
754360,2018-01-01,"['Action', 'Adventure', 'RPG']"
716110,2018-01-01,"['Adventure', 'RPG', 'Indie', 'Casual', 'Clicker']"
1640,2006-07-06,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']"
1630,2006-07-06,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']"
